,precision,recall,f1-score,support
0,0.107,0.07353951890034365,0.08716904276985743,1455.0
1,0.409,0.3059087509349289,0.3500213949507916,1337.0
2,0.278,0.16362566215420835,0.20600222304557242,1699.0
3,0.085,0.25297619047619047,0.12724550898203593,336.0
4,0.032,0.030274361400189215,0.031113271754982987,1057.0
5,0.359,0.5744,0.44184615384615383,625.0
6,0.064,0.07032967032967033,0.06701570680628273,910.0
7,0.609,0.6417281348788199,0.624935864545921,949.0
8,0.104,0.14168937329700274,0.11995386389850057,734.0
9,0.179,0.19933184855233854,0.1886195995785037,898.0
accuracy,0.2226,0.2226,0.2226,0.2226
macro avg,0.2226,0.2453803510923692,0.22439226301786025,10000.0
weighted avg,0.23348580000000002,0.2226,0.22080773698213976,10000.0
